Nachbar,neighbor
verbringen (verbringt, hat verbracht),to spend (time)
vorsichtig,careful(ly)
zusammenarbeiten,to work together
froh,glad, relieved
gefährlich,dangerous(ly)
nützlich,useful(ly)
sicher,sure, safe
Das mache ich am liebsten,That’s what I like to do most
der Buchverlag,book publisher
der Fußballer,soccer player
der Fußballprofi,soccer pro
kompliziert,complicated(ly)
der Lieblingsverein,favorite team
das Porträt,portrait, profile
das Produkt,product
der Rapper,rapper
das Shooting,shooting (film)
das Stadion,stadium
der Traumberuf,dream job
die Werbung,advertisement
die Lösung,solution
berühmt,famous
das Dingsbums,thingy
der Actionfilm,action movie
der Fantasy-Film,fantasy movie
die Komödie,comedy
lachen,to laugh
der Lieblingsschauspieler,favorite actor
die Romanze,romance
der Thriller,thriller
weinen,to cry
der Ausländer,foreigner
der Enkel,grandchild
der Gastarbeiter,guest worker
gehen (geht, ist gegangen),here: to be about (The film is about a family from Turkey.)
die Heimat,homeland, hometown
der Kleinbus,minibus
der Konflikt,conflict
das Lachen,laughter
lustig machen (sich) (über + Akk.),to mock, make fun of (The movie mocks prejudices.)
die Sechzigerjahre,1960s
skeptisch,skeptical(ly)
die Versöhnung,redemption
das Vorurteil,prejudice
wenigstens,at least
der Zuschauer,viewer, spectator
aktuell,current
der Durchschnitt,average
eher,rather
empfehlenswert,recommendable
die Handlung,plot, action
der Hauptdarsteller,leading actor
das Highlight,highlight
das Klischee,cliché
realistisch,realistic
der Schauspieler,actor
spannend,exciting, suspenseful
spielen (Der Film spielt in der Türkei.),here: to be set in (The movie is set in Turkey.)
der Stern,star
sympathisch,likeable
die Szene,scene
die Formulierung,formulation, wording
logisch,logical
weitere,further
die Beschreibung,description
zuletzt,lastly
neugierig,curious
verwenden,to use, employ
dazu,thereto
das Abiturzeugnis,high school diploma, baccalaureate
die Babykleidung,baby clothes
das Bedauern,regret
der Blumenstrauß,bouquet
das Ereignis,result
erraten,to guess
die Freude,joy
der Führerschein,driver’s license
die Führerscheinprüfung,driver’s license exam
die Geburt,birth
die Hochzeit,wedding
das Jubiläum,wedding anniversary
die Medaille,medal
der Platz,place (Tom hat den ersten Platz geschafft.)
der Ring,ring
der Schultag,school day
die Schultüte,cone-shaped cardboard flute filled with candy to celebrate the first day of school
der Storch,stork
Herzlichen Glückwunsch,congratulations
die Absage,cancellation
das Brautpaar,bride and groom
die Dankeskarte,thank-you card
der Glückwunsch,congratulation
die Glückwunschkarte,congratulation card
gratulieren,to congratulate
heiraten,to marry
die Karte,card (Ich schreibe eine Karte mit Glückwünschen.)
das Liebe,(Ich wünsche euch alles Liebe zur Hochzeit.) best wishes (I wish you all the best for your wedding.)
der Traum,dream
der Ausdruck,expression
aussprechen,to pronounce
bedanken (sich) (bei + Dat.),to thank
die Geburtstagsfeier,birthday celebration
danken,to thank
der Kreis,circle
die Angst,fear
die Emotion,fear, emotion
das Unglück,misfortune
unglücklich,unlucky
die Achterbahn,roller coaster
wegfahren,to drive away
wenn,when
bestehen (besteht, hat bestanden),(Ich habe zum Glück jede Prüfung bestanden.) to pass an exam (Luckily, I passed every exam.)
unten,below
aufregend,exciting, thrilling
böse,angry, mad
erfinden (erfindet, hat erfunden),to invent
abwechseln (sich) (mit + Dat.),to alternate
Alternative,alternative (Pop, Rock und Alternative sind Musikstile.)
die Band,band (music)
bekannt,known, well-known
das Festival,festival
geben (gibt, hat gegeben),(Auf dem Festival geben viele Bands Konzerte.) to give, present (At the festival, many bands give concerts.)
historisch,historic(al)
das Kinderfest,children’s festival
der Musikfan,music fan
das Musikfest,music festival
der Musikstil,music genre
das Muss,must
der Newcomer,newcomer
der Pop,pop
das Programm,program, schedule
die Segelregatta,sailing race, yacht race
das Segelschiff,sailboat
spielen (Die Band spielt auf dem Festival.),to play (The band plays at the festival.)
der Sportfan,sports fan
das Sportfest,sports festival
das Stadtfest,city festival
stattfinden (findet statt, hat stattgefunden),to take place
das Theaterfest,theater festival
weltweit,worldwide
das Feuerwerk,fireworks display
teilnehmen (nimmt teil, hat teilgenommen),to take part
die Veranstaltung,event
achten (auf + Akk.),to pay attention (to s.t.)
neutral,neutral(ly)
zahlreich,numerous
das Pech,bad luck
fallen (fällt, ist gefallen),to fall
gutmachen,to make good, to make up (for s.t.)
das Los,lot, raffle ticket
peinlich,embarrassing, awkward
sauber machen,to make s.t. clean
unangenehm,unpleasant
ärgerlich,annoying, irritating
emotional,emotional
fröhlich,happy, cheerful
gestresst,stressed
Ende,end
Anfang,start, beginning
das Lied,song
melancholisch,melancholic
originell,original
poetisch,poetic
romantisch,romantic
domestiziert,domesticated
erleben,to experience
wild,wild
der Gegensatz,counterpart, contrast
die Freundschaft,friendship
handeln (von + Dat.),to be about
die Kindheit,childhood
die Liebe, love (Die Liebe ist ein schönes Gefühl.) love (Love is a wonderful feeling.)
die Sehnsucht,longing
wovon?,about what?
weiterschreiben (schreibt weiter, hat weitergeschrieben),to continue writing
herumgehen (geht herum, ist herumgegangen),to go around
die Variante,variation
abfahren (fährt ab, ist abgefahren),to depart, drive away
der Abschnitt,section, paragraph
akkurat,accurate
anbieten (bietet an, hat angeboten),to offer
die Ankunft,arrival
das Ausland,foreign countries, abroad
außer (+ Dat.),except (Niemand ist pünktlich außer mir.)
dafür,in exchange
daran,about that
der Blogeintrag,blog post
der Grund,reason
hilfsbereit,helpful(ly)
der Inhalt,content
interessiert (an + Dat.),interested
irgendwie,somehow
jeweils,each
mitnehmen (nimmt mit, hat mitgenommen),to take along
niemand,nobody
nirgends,nowhere
ordentlich,proper, tidy
schlimm,bad, terrible
sogar,even
die Sprachenschule,language school
der Tango,tango
die Tango-Musik,tango music
unterrichten,to teach
der Verkehr,traffic
das Wohnheim,dorm
ziemlich,quite, rather
zusammenfassen,to summarize
der Absatz,paragraph
passend,suitable, matching
tauschen,to switch, trade
die Zeile,line (text)
der Aufenthalt,stay, visit
der Anwalt,lawyer
föhnen,to blow-dry
der Grafiker,graphic designer
der Hammer,hammer
der Tischler,carpenter
die Tönung,tint, tone
die Schere,scissors
die Handbewegung,hand gesture
die Geschäftsreise,business trip
das Abteil,compartment
die Bahncard,train discount card
besitzen,to own
die Hinfahrt,outbound trip
kurz,shortly
die Rückfahrt,return trip
die Abfahrt,departure
die Bahn,train
der Bahnsteig,train platform
die Durchsage,announcement
der Fahrplan,timetable, schedule
das Gepäck,baggage, luggage
das Gleis,track
die Information,information desk
der Schalter,counter
der Waggon,train car
die Zugverbindung,train connection
die Auskunft,information desk
der Bahn-Mitarbeiter,train employee
einfach,one-way
der Fahrgast,passenger
der Gang,aisle
der Großraumwagen,open coach
die Klasse,class
das Abend-Programm,evening program
die Dame,lady
entspannt,relaxed
die Ermäßigung,discount
erwarten,to await, expect
fantastisch,fantastic
fit,fit, in shape
früher,formerly
die Geschichte,history, story
großartig,great
die Kultur,culture
live,live
das Musikereignis,musical event
die Reservierung,reservation
der Sänger,singer
der Senior,senior
die Show,show
hübsch,pretty
verrückt,crazy
antik,antique
arbeitslos,unemployed
der Arztkittel,lab coat
bereuen,to regret
der Berufswechsel,career change
der Elektrokonzern,electronics company
erfolgreich,successful
erfüllen,to fulfill
der Fernfahrer,trucker
die Freiheit,freedom
gegen,for
gestalten,to shape, fashion
gründen,to found
der Herzchirurg,heart surgeon
die Herzchirurgie,cardiac surgery
das Herzzentrum,cardiac center
die Industriekauffrau,industrial businesswoman
der Lastwagen,truck
der Leiter,director, leader
die Medizin,medicine
die Möbelwerkstatt,furniture workshop
der Oberarzt,senior physician
der Operationssaal,operating room
der Overall,overalls
plötzlich,suddenly
das Schmuckstück,piece of jewelry
die Tischlerei,carpenter’s woodshop
das Universitätsspital,university hospital
werden,to become
die Parallele,parallel
die Altersangabe,age indication
der Berufswunsch,career goal
der Arbeitsort,work location
der Aspekt,aspect
folgend,following
der Tiertrainer,animal trainer
der Autor,author
aufstellen,to set up, establish
hinten,behind
hintereinander,successively
der Schritt,step
vorn,forward
der Lkw,truck
führen,to conduct, lead
das Telefongespräch,telephone conversation
vorstellen,to imagine
ausschalten,to turn off
bereitlegen,to lay ready
deutlich,distinct
hektisch,hectic
konzentrieren,to concentrate
lächeln,to smile
das Lächeln,smile
die Ruhe,quiet, calm
der Stift,pencil
verlaufen,to proceed
vorbereiten,to prepare
ausrichten,to align, to convey
außer,outside
die Durchwahl,phone extension
hinterlassen,to leave behind
verbinden,to connect
zurückrufen,to call back
informiert,informed
der Arbeitsalltag,workday
das Arbeitsleben,professional life
die Arbeitsteilung,division of labor
das Arbeitsverhältnis,working relationship
der Austausch,exchange
die Balance,balance
bestimmen,to determine
betreuen,to look after
der Betreuungsplatz,child care facility
dabei,with this
dadurch,because of this
damit,so that
erreichbar,reachable
existieren,to exist
die Fähigkeit,capability, skill
familienfreundlich,family-friendly
die Flexibilität,flexibility
freiwillig,voluntary
die Hierarchie,hierarchy
die Internetverbindung,internet connection
die Kooperation,cooperation
kümmern,to take care of
lebenslang,lifelong
mehrere,several
möglichst,preferably
nutzen,to use
die Position,position
die Projektarbeit,project work
qualifizieren,to qualify
selbstständig,independent
die Sicherheit,security
starr,rigid
die Teamarbeit,teamwork
die Telefonkonferenz,conference call
unmodern,old-fashioned
die Verbindung,connection
die Vernetzung,networking
verschwinden,to disappear
die Videokonferenz,video conference
das Wissen,knowledge
zunehmen,to increase
zurechtkommen,to cope
austauschen,to exchange
das Schlüsselwort,keyword
Bis dann!,Until then!
dabei sein,to be involved
erfragen,to ask (for s.t., to inquire)
das Foyer, foyer
die Karte, ticket (Kaufst du die Karten für das Konzert?)
locker, relaxed(ly)
die Philharmonie, philharmonic
schön, pretty (Mit dem Fahrrad ist Peter ganz schön mobil.)
die Unsicherheit, insecurity
vorhaben, to have s.t. planned
die Ampel, traffic light
der Motor, motor
der Parkplatz, parking lot
die Polizei, police
der Reifen, tire
der Stau, traffic jam
das Parkhaus, parking garage
der Anschluss, connection
die Panne, car break down
der Sitzplatz, seat
die Tankstelle, gas station
das Verkehrsmittel, mode of transportation
unterwegs zu ..., on the way to ...
ewig, forever
das Kinderabteil, children’s section
die Mama, mama
nervig, annoying
ungeduldig, impatient
das Chaos, chaos
genervt, annoyed, irritated
höflich, polite
der Papa, papa
vorlesen, to read aloud
die App, application
der Deal, deal
die Bedienung, operation (Das Programm hat eine einfache Bedienung.)
eingeben, to enter, input
Hi!, Hi!
das Navigationssystem, navigation system
ob passen, if to work out (Passt schon. = It'll work out fine.)
die Strecke, route
stressfrei, stress-free
übermorgen, day after tomorrow
die Verkehrsapp, traffic application
die Daten, files
einschalten, to turn on
die Radarkamera, radar camera
das Benzin, gas
erreichen, to reach
gespannt, curious(ly), eager(ly)
rechtzeitig, on time
die Überlegung, consideration
abfliegen, to fly away
der Abflug, departing flight
bremsen, to brake
die Garage, garage
das Kennzeichen, license plate
das Kfz, motor vehicle
landen, to land
der Pkw, automobile, passenger car
die Reparatur, repair
rückwärts, backward
die Versicherung, insurance
der Wagen, car
an ... vorbei, past, by
die Brücke, bridge
einverstanden, agreed
entlanggehen, to go along
gegenüber, across from
der Kinderspielplatz, playground
die Kreuzung, intersection
noch mal, again
um ... herum, around
vorbeigehen, to pass by
der Wohnungsschlüssel, house key
einzeichnen, to draw in
die Wegbeschreibung, directions
zeichnen, to draw, sketch
das Navigationsgerät, navigation device
der Zeitungsartikel, newspaper article
der Anbieter, vendor, provider
ansonsten, otherwise, apart from that
außerdem, besides
das Carsharing, car sharing
entweder ... oder ..., either ... or ...
der Fall, case, situation (In dem Fall ist das Auto billiger.)
flexibel, flexible
die Gebühr, fee
jederzeit, at any time
das Konzept, concept
leihen, to borrow
lohnen, to be worth
mieten, to rent
nachdenken, to think about, ponder
das Privatauto, privately owned car
die Telefonzentrale, switchboard, hotline
unmöglich, impossible
unpraktisch, impractical
weiterhelfen, to help along, assist
das Wunschauto, desired car
allgemein, general(ly)
gegen, against (Ich bin gegen Autos, weil …)
der Unsinn, nonsense
vertreten, to represent
das Stadtteilauto, car sharing car; Zipcar
etwa, approximately
nehmen, to take (Zur Arbeit nehme ich den Bus.)
pendeln, to commute
richtig, properly (Nach einem Kaffee bin ich richtig wach.)
die Richtung, direction
wach, awake
die Zugfahrt, train ride
die Schlange, line, queue
öffentlich, public (Ich nehme immer die öffentlichen Verkehrsmittel.)
das Kursergebnis, class result
die Begegnung, encounter
die Radiosendung, radio program
der Schriftsteller, writer
die Sendung, program, show
überlegen, to think about
der Stichpunkt, bullet point, key point
die Fahrradreise, bicycle trip
befürchten, to fear
durchsichtig, transparent
der Elefant, elephant
das Ersatzteil, spare part
griffbereit, handy, at hand
das Hinterrad, rear wheel
die Isomatte, sleeping pad
der Kompass, compass
kühl, cool
die Lenkertasche, handlebar bag
die Not, emergency
das Notizbuch, notebook
die Seite, side (In der linken Seite steckt ein Messer. = A knife is stuck in the left side.)
stecken, to be stuck, be placed
die Unterwäsche, underwear
verstauen, to stow
die Wäsche, underwear (Singular)
das Werkzeug, tool
die Wollmütze, wool cap
die Disziplin, discipline
die Gitarre, guitar
die Lieblingsband, favorite band
der Online-Kurs, online course
verfassen, to write up (einen Forumseintrag verfassen = to write up a forum post)
blicken, to see, glimpse (Ich blick‘s nicht. = I don’t see it.)
die Checkliste, checklist
durcheinandergehen, to get mixed up
einfallen, to think of (s.t.)
einhalten, to follow, observe
kapieren, to understand
knapp, scarce(ly)
die Meisterprüfung, master’s certification
mündlich, oral
der Prüfer, examiner, person ministering an exam
der Schlaf, sleep
das Semester, semester
der Stoff, material (Für die Prüfung muss ich noch so viel Stoff lernen. = I still have to learn so much material for the test.)
trotzdem, nevertheless
der Zeitplan, schedule
entspannen (sich), to relax
konsequent, consistent(ly)
verschieben, to delay, put off
das Lernproblem, learning problem
weiterarbeiten, to continue work
die Arbeit, exam (Maria schreibt heute eine Arbeit in Geografie. = Maria has an exam in geography today.)
der Arbeitsplan, work plan, work schedule
denn, because (Auch Prüfer sind oft nervös, denn sie müssen sich sehr konzentrieren. = Even examiners are often nervous because they really have to concentrate.)
dringend, urgently
durchatmen, to breathe, respire
die Erholung, recovery
gerecht, fair, just
die Grippe, flu
lassen, to leave (Lassen Sie auch Lücken für Pausen in Ihrem Arbeitsplan. = Also, leave some gaps for breaks in your work schedule.)
der Lernhelfer, learning assistant
lösen, to solve
nachfragen, to ask again
ruhig, here: without worry (Machen Sie beim Lernen ruhig einen freien Tag pro Woche. = Go ahead and take one day off from studying per week!)
tief, deep(ly) (Atme tief durch! = Breathe deeply!)
der Trick, trick
übrigens, by the way
verplanen, here: to overschedule
einplanen, to schedule in
belohnen, to reward
motivieren, to motivate
der Ratschlag, advice, counsel
der Forumstext, forum post
abwechslungsreich, varied
der Auftrag, job, order, task
begleiten, to accompany
der Doktor, doctor
dolmetschen, to translate simultaneously
das Drehbuch, screenplay
einsam, lonely
faszinieren, to fascinate
freiberuflich, self-employed, freelance
der Gebärdendolmetscher, sign language interpreter
der/die Gehörlose, deaf, hearing-impaired person
das Gericht, court (Tom dolmetscht oft im Gericht oder auf dem Standesamt. = Tom often interprets in court or at the civil magistrate’s office.)
die Kommunikation, communication
komplett, complete(ly)
die Konferenz, conference
die Logopädin, speech therapist (female)
Mitternacht, midnight
die Phase, phase
sorgen, to ensure, provide
die Sprachtherapie, speech therapy
das Standesamt, civil magistrate’s office
der Tagesablauf, daily schedule
der Übersetzer, translator
die Untersuchung, examination
der Zeitschriftenartikel, newspaper article
die Angabe, statement
die Tänzerin, dancer (female)
Generationenprojekte, generational projects
die Aushilfe, temporary help
einkochen, to boil down
die Frucht, fruit
das Generationenprojekt, generational project
der Preis, prize (Unser Projekt hat dieses Jahr einen Preis gewonnen. = Our project won a prize this year.)
die Servicekraft, service staff
der Wert, value
die Erwartung, expectation
die Reportage, report
das Stichwort, keyword
die Seniorin, senior citizen (female)
das Lieblingsbuch, favorite book
der Vorleser, reader
die Einleitung, introduction
erstens, firstly
die Gliederung, structure, organization
der Hauptteil, main section
der Punkt, point (Zu diesem Punkt möchte ich noch etwas sagen: … = I still want to say something about this point…)
der Zuhörer, listener
der Spiegel, mirror
vortragen, to recite, deliver
Paragliding, paragliding (no article)
Parkour reiten, to do parkour on horseback (reiten = to ride)
das Schneeschuhwandern, snowshoe hiking (singular)
sportlich, sporty
tauchen, to dive
das Yoga, yoga (singular)
der Gleitschirm, paraglider
der Reithelm, riding helmet
der Schneeschuh, snowshoe
die Taucherbrille, diving mask
die Yogamatte, yoga mat
die Luft, air (meist Singular) (Ich bin in der Luft, ich fliege! = I am in the air, I'm flying!)
die Mauer, wall
der Muskel, muscle
das Pferd, horse
der Schirm, parachute (Ich springe aus dem Flugzeug, hoffentlich öffnet sich der Schirm. = I am jumping out of the airplane; hopefully the parachute will open.)
das Tier, animal
der Wald, forest
der Yogakurs, yoga class
die Sportart, sport type
der Fallschirm, parachute
springen, to jump (Ich bin schon mal Fallschirm gesprungen. = I have parachute jumped before.)
der Sportgegenstand, sports equipment
der Fan, fan
der Fanartikel, fan merchandise
der Fußballschal, soccer club scarf
der Fußballfan, soccer fan
die Begeisterung, enthusiasm (Singular)
die Enttäuschung, disappointment
hoffen, to hope
die Hoffnung, hope
die Topform, top form, peak condition (Singular)
der Wahnsinn, madness, insanity (Singular)
die Niederlage, defeat
der Sieg, victory
die Lieblingsmannschaft, favorite team
der Lieblingssportler, favorite athlete
verlieren, to lose
das Bällchen, ball (small)
begeistert, enthusiastic
sich benehmen, to behave
die Chance, chance, opportunity
die Folge, result, consequence
die Konsequenz, consequence
kritisch, critical(ly)
die Mannschaft, team
das Tor, goal (Beim Fußballspiel sind super Tore gefallen. = Great goals were made at the soccer game.)
treu, loyal(ly) (Bleiben Sie uns treu. = Stay loyal to us.)
das Vorbild, role model
